pdf, Part No.,Series Name,Voltage,Tolerance,Capacitance,Pitch,Case Size
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0022REB-0405,CA004M0022REB-0405,CA (85°C  2000 Hours Low Profile),4V,±20%,22,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0033REB-0405,CA004M0033REB-0405,CA (85°C  2000 Hours Low Profile),4V,±20%,33,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0047REB-0405,CA004M0047REB-0405,CA (85°C  2000 Hours Low Profile),4V,±20%,47,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0100REC-0505,CA004M0100REC-0505,CA (85°C  2000 Hours Low Profile),4V,±20%,100,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0220RED-0605,CA004M0220RED-0605,CA (85°C  2000 Hours Low Profile),4V,±20%,220,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0470REH-0607,CA004M0470REH-0607,CA (85°C  2000 Hours Low Profile),4V,±20%,470,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA004M0470RSH-0607,CA004M0470RSH-0607,CA (85°C  2000 Hours Low Profile),4V,±20%,470,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006K0100RED-0605,CA006K0100RED-0605,CA (85°C  2000 Hours Low Profile),6.3V,±10%,100,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0022REB-0405,CA006M0022REB-0405,CA (85°C  2000 Hours Low Profile),6.3V,±20%,22,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0033REB-0405,CA006M0033REB-0405,CA (85°C  2000 Hours Low Profile),6.3V,±20%,33,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0033REC-0505,CA006M0033REC-0505,CA (85°C  2000 Hours Low Profile),6.3V,±20%,33,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0047REB-0405,CA006M0047REB-0405,CA (85°C  2000 Hours Low Profile),6.3V,±20%,47,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0047REC-0505,CA006M0047REC-0505,CA (85°C  2000 Hours Low Profile),6.3V,±20%,47,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0100REC-0505,CA006M0100REC-0505,CA (85°C  2000 Hours Low Profile),6.3V,±20%,100,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0100RED-0605,CA006M0100RED-0605,CA (85°C  2000 Hours Low Profile),6.3V,±20%,100,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0220RED-0605,CA006M0220RED-0605,CA (85°C  2000 Hours Low Profile),6.3V,±20%,220,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0220REE-0806,CA006M0220REE-0806,CA (85°C  2000 Hours Low Profile),6.3V,±20%,220,No Lead Cut /  Standard,0806
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0220REH-0607,CA006M0220REH-0607,CA (85°C  2000 Hours Low Profile),6.3V,±20%,220,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0330REE-0806,CA006M0330REE-0806,CA (85°C  2000 Hours Low Profile),6.3V,±20%,330,No Lead Cut /  Standard,0806
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0330REF-0810,CA006M0330REF-0810,CA (85°C  2000 Hours Low Profile),6.3V,±20%,330,No Lead Cut /  Standard,0810
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0330REH-0607,CA006M0330REH-0607,CA (85°C  2000 Hours Low Profile),6.3V,±20%,330,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0330RSH-0607,CA006M0330RSH-0607,CA (85°C  2000 Hours Low Profile),6.3V,±20%,330,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M0470REF-0810,CA006M0470REF-0810,CA (85°C  2000 Hours Low Profile),6.3V,±20%,470,No Lead Cut /  Standard,0810
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M1000REF-0810,CA006M1000REF-0810,CA (85°C  2000 Hours Low Profile),6.3V,±20%,1 000,No Lead Cut /  Standard,0810
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M1000REG-1010,CA006M1000REG-1010,CA (85°C  2000 Hours Low Profile),6.3V,±20%,1 000,No Lead Cut /  Standard,1010
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M1500REG-1010,CA006M1500REG-1010,CA (85°C  2000 Hours Low Profile),6.3V,±20%,1 500,No Lead Cut /  Standard,1010
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA006M4R70REB-0405,CA006M4R70REB-0405,CA (85°C  2000 Hours Low Profile),6.3V,±20%,4.7,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0010REB-0405,CA010M0010REB-0405,CA (85°C  2000 Hours Low Profile),10V,±20%,10,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0022REB-0405,CA010M0022REB-0405,CA (85°C  2000 Hours Low Profile),10V,±20%,22,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0033REB-0405,CA010M0033REB-0405,CA (85°C  2000 Hours Low Profile),10V,±20%,33,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0033REC-0505,CA010M0033REC-0505,CA (85°C  2000 Hours Low Profile),10V,±20%,33,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0047REC-0505,CA010M0047REC-0505,CA (85°C  2000 Hours Low Profile),10V,±20%,47,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0047RED-0605,CA010M0047RED-0605,CA (85°C  2000 Hours Low Profile),10V,±20%,47,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0100REC-0505,CA010M0100REC-0505,CA (85°C  2000 Hours Low Profile),10V,±20%,100,No Lead Cut /  Standard,0505
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0100RED-0605,CA010M0100RED-0605,CA (85°C  2000 Hours Low Profile),10V,±20%,100,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0100RSD-0605,CA010M0100RSD-0605,CA (85°C  2000 Hours Low Profile),10V,±20%,100,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0220RED-0605,CA010M0220RED-0605,CA (85°C  2000 Hours Low Profile),10V,±20%,220,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0220REE-0806,CA010M0220REE-0806,CA (85°C  2000 Hours Low Profile),10V,±20%,220,No Lead Cut /  Standard,0806
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0220REH-0607,CA010M0220REH-0607,CA (85°C  2000 Hours Low Profile),10V,±20%,220,No Lead Cut /  Standard,0607
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0330REF-0810,CA010M0330REF-0810,CA (85°C  2000 Hours Low Profile),10V,±20%,330,No Lead Cut /  Standard,0810
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0470REF-0810,CA010M0470REF-0810,CA (85°C  2000 Hours Low Profile),10V,±20%,470,No Lead Cut /  Standard,0810
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0470REG-1010,CA010M0470REG-1010,CA (85°C  2000 Hours Low Profile),10V,±20%,470,No Lead Cut /  Standard,1010
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M0680REG-1010,CA010M0680REG-1010,CA (85°C  2000 Hours Low Profile),10V,±20%,680,No Lead Cut /  Standard,1010
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA010M1000REG-1010,CA010M1000REG-1010,CA (85°C  2000 Hours Low Profile),10V,±20%,1 000,No Lead Cut /  Standard,1010
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA016K0010REB-0405,CA016K0010REB-0405,CA (85°C  2000 Hours Low Profile),16V,±10%,10,No Lead Cut /  Standard,0405
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA016K0047RED-0605,CA016K0047RED-0605,CA (85°C  2000 Hours Low Profile),16V,±10%,47,No Lead Cut /  Standard,0605
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CA016K0100RED-0605,CA016K0100RED-0605,CA (85°C  2000 Hours Low Profile),16V,±10%,100,No Lead Cut /  Standard,0605
