pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF-12JR-75R,MCF-12JR-75R,MCF,1/6W,±5%,Base on Specs,75,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF-25JR-22R,MCF-25JR-22R,MCF,1/4W,±5%,Base on Specs,22,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF-25JR-33R,MCF-25JR-33R,MCF,1/4W,±5%,Base on Specs,33,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF-50JR-390R,MCF-50JR-390R,MCF,1/2W,±5%,Base on Specs,390,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF207JR-120K,MCF207JR-120K,MCF,0.6W,±5%,Base on Specs,120 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF25SJR-2K2,MCF25SJR-2K2,MCF,1/4W,±5%,Base on Specs,2 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF50SJR-100R,MCF50SJR-100R,MCF,1/2W,±5%,Base on Specs,100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF50SJR-1K,MCF50SJR-1K,MCF,1/2W,±5%,Base on Specs,1 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCF50SJR-47R,MCF50SJR-47R,MCF,1/2W,±5%,Base on Specs,47,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCP100JR-15K,MCP100JR-15K,MCP,1W,±5%,Base on Specs,15 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MCP200JR-100R,MCP200JR-100R,MCP,2W,±5%,Base on Specs,100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF-12FRE100K,MMF-12FRE100K,MMF,1/6W,±1%,±50ppm/°C,100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF-12FRE10K,MMF-12FRE10K,MMF,1/6W,±1%,±50ppm/°C,10 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF-12FRE154K,MMF-12FRE154K,MMF,1/6W,±1%,±50ppm/°C,154 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF-12FRE1K1,MMF-12FRE1K1,MMF,1/6W,±1%,±50ppm/°C,1 100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF-12FRE1K5,MMF-12FRE1K5,MMF,1/6W,±1%,±50ppm/°C,1 500,
