pdf, Part No.,Series Name,Rated Power,Tolerance,T.C.R,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-0R,CF0204JT-52-0R,CF0,0.4W,±5%,Base on Specs,0,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-120K,CF0204JT-52-120K,CF0,0.4W,±5%,Base on Specs,120 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-220R,CF0204JT-52-220R,CF0,0.4W,±5%,Base on Specs,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-2R7,CF0204JT-52-2R7,CF0,0.4W,±5%,Base on Specs,2.7,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-33K,CF0204JT-52-33K,CF0,0.4W,±5%,Base on Specs,33 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-3K3,CF0204JT-52-3K3,CF0,0.4W,±5%,Base on Specs,3 300,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-3R3,CF0204JT-52-3R3,CF0,0.4W,±5%,Base on Specs,3.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0204JT-52-47K,CF0204JT-52-47K,CF0,0.4W,±5%,Base on Specs,47 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-0R,CF0207JT-52-0R,CF0,0.6W,±5%,Base on Specs,0,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-100R,CF0207JT-52-100R,CF0,0.6W,±5%,Base on Specs,100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-10K,CF0207JT-52-10K,CF0,0.6W,±5%,Base on Specs,10 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-15K,CF0207JT-52-15K,CF0,0.6W,±5%,Base on Specs,15 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-1K5,CF0207JT-52-1K5,CF0,0.6W,±5%,Base on Specs,1 500,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-220R,CF0207JT-52-220R,CF0,0.6W,±5%,Base on Specs,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-22R,CF0207JT-52-22R,CF0,0.6W,±5%,Base on Specs,22,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-270R,CF0207JT-52-270R,CF0,0.6W,±5%,Base on Specs,270,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-33K,CF0207JT-52-33K,CF0,0.6W,±5%,Base on Specs,33 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-3K,CF0207JT-52-3K,CF0,0.6W,±5%,Base on Specs,3 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-3R3,CF0207JT-52-3R3,CF0,0.6W,±5%,Base on Specs,3.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-430K,CF0207JT-52-430K,CF0,0.6W,±5%,Base on Specs,430 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-470R,CF0207JT-52-470R,CF0,0.6W,±5%,Base on Specs,470,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-47R,CF0207JT-52-47R,CF0,0.6W,±5%,Base on Specs,47,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-510K,CF0207JT-52-510K,CF0,0.6W,±5%,Base on Specs,510 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-510R,CF0207JT-52-510R,CF0,0.6W,±5%,Base on Specs,510,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CF0207JT-52-9K1,CF0207JT-52-9K1,CF0,0.6W,±5%,Base on Specs,9 100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GR-52-100K,CFR-12GR-52-100K,CFR,1/6W,±2%,Base on Specs,100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GR-52-10K,CFR-12GR-52-10K,CFR,1/6W,±2%,Base on Specs,10 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GR-52-33K,CFR-12GR-52-33K,CFR,1/6W,±2%,Base on Specs,33 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GT-52-18K,CFR-12GT-52-18K,CFR,1/6W,±2%,Base on Specs,18 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GT-52-1K5,CFR-12GT-52-1K5,CFR,1/6W,±2%,Base on Specs,1 500,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GT-52-1K8,CFR-12GT-52-1K8,CFR,1/6W,±2%,Base on Specs,1 800,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GT-52-220R,CFR-12GT-52-220R,CFR,1/6W,±2%,Base on Specs,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12GT-52-3K6,CFR-12GT-52-3K6,CFR,1/6W,±2%,Base on Specs,3 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-100K,CFR-12JB-52-100K,CFR,1/6W,±5%,Base on Specs,100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-100R,CFR-12JB-52-100R,CFR,1/6W,±5%,Base on Specs,100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-10K,CFR-12JB-52-10K,CFR,1/6W,±5%,Base on Specs,10 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-10M,CFR-12JB-52-10M,CFR,1/6W,±5%,Base on Specs,10 000 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-10R,CFR-12JB-52-10R,CFR,1/6W,±5%,Base on Specs,10,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-110K,CFR-12JB-52-110K,CFR,1/6W,±5%,Base on Specs,110 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-110R,CFR-12JB-52-110R,CFR,1/6W,±5%,Base on Specs,110,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-11K,CFR-12JB-52-11K,CFR,1/6W,±5%,Base on Specs,11 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-11R,CFR-12JB-52-11R,CFR,1/6W,±5%,Base on Specs,11,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-120K,CFR-12JB-52-120K,CFR,1/6W,±5%,Base on Specs,120 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-120R,CFR-12JB-52-120R,CFR,1/6W,±5%,Base on Specs,120,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-12K,CFR-12JB-52-12K,CFR,1/6W,±5%,Base on Specs,12 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-12R,CFR-12JB-52-12R,CFR,1/6W,±5%,Base on Specs,12,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-130K,CFR-12JB-52-130K,CFR,1/6W,±5%,Base on Specs,130 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-130R,CFR-12JB-52-130R,CFR,1/6W,±5%,Base on Specs,130,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-13K,CFR-12JB-52-13K,CFR,1/6W,±5%,Base on Specs,13 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-13R,CFR-12JB-52-13R,CFR,1/6W,±5%,Base on Specs,13,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-150K,CFR-12JB-52-150K,CFR,1/6W,±5%,Base on Specs,150 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-150R,CFR-12JB-52-150R,CFR,1/6W,±5%,Base on Specs,150,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-15K,CFR-12JB-52-15K,CFR,1/6W,±5%,Base on Specs,15 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-15R,CFR-12JB-52-15R,CFR,1/6W,±5%,Base on Specs,15,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-160K,CFR-12JB-52-160K,CFR,1/6W,±5%,Base on Specs,160 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-160R,CFR-12JB-52-160R,CFR,1/6W,±5%,Base on Specs,160,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-16K,CFR-12JB-52-16K,CFR,1/6W,±5%,Base on Specs,16 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-16R,CFR-12JB-52-16R,CFR,1/6W,±5%,Base on Specs,16,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-180K,CFR-12JB-52-180K,CFR,1/6W,±5%,Base on Specs,180 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-180R,CFR-12JB-52-180R,CFR,1/6W,±5%,Base on Specs,180,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-18K,CFR-12JB-52-18K,CFR,1/6W,±5%,Base on Specs,18 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-18R,CFR-12JB-52-18R,CFR,1/6W,±5%,Base on Specs,18,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K,CFR-12JB-52-1K,CFR,1/6W,±5%,Base on Specs,1 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K1,CFR-12JB-52-1K1,CFR,1/6W,±5%,Base on Specs,1 100,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K2,CFR-12JB-52-1K2,CFR,1/6W,±5%,Base on Specs,1 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K3,CFR-12JB-52-1K3,CFR,1/6W,±5%,Base on Specs,1 300,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K5,CFR-12JB-52-1K5,CFR,1/6W,±5%,Base on Specs,1 500,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K6,CFR-12JB-52-1K6,CFR,1/6W,±5%,Base on Specs,1 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1K8,CFR-12JB-52-1K8,CFR,1/6W,±5%,Base on Specs,1 800,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M,CFR-12JB-52-1M,CFR,1/6W,±5%,Base on Specs,1 000 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M1,CFR-12JB-52-1M1,CFR,1/6W,±5%,Base on Specs,1 100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M2,CFR-12JB-52-1M2,CFR,1/6W,±5%,Base on Specs,1 200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M3,CFR-12JB-52-1M3,CFR,1/6W,±5%,Base on Specs,1 300 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M5,CFR-12JB-52-1M5,CFR,1/6W,±5%,Base on Specs,1 500 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M6,CFR-12JB-52-1M6,CFR,1/6W,±5%,Base on Specs,1 600 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1M8,CFR-12JB-52-1M8,CFR,1/6W,±5%,Base on Specs,1 800 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R,CFR-12JB-52-1R,CFR,1/6W,±5%,Base on Specs,1,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R1,CFR-12JB-52-1R1,CFR,1/6W,±5%,Base on Specs,1.1,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R2,CFR-12JB-52-1R2,CFR,1/6W,±5%,Base on Specs,1.2,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R3,CFR-12JB-52-1R3,CFR,1/6W,±5%,Base on Specs,1.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R5,CFR-12JB-52-1R5,CFR,1/6W,±5%,Base on Specs,1.5,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R6,CFR-12JB-52-1R6,CFR,1/6W,±5%,Base on Specs,1.6,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-1R8,CFR-12JB-52-1R8,CFR,1/6W,±5%,Base on Specs,1.8,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-200K,CFR-12JB-52-200K,CFR,1/6W,±5%,Base on Specs,200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-200R,CFR-12JB-52-200R,CFR,1/6W,±5%,Base on Specs,200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-20K,CFR-12JB-52-20K,CFR,1/6W,±5%,Base on Specs,20 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-20R,CFR-12JB-52-20R,CFR,1/6W,±5%,Base on Specs,20,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-220K,CFR-12JB-52-220K,CFR,1/6W,±5%,Base on Specs,220 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-220R,CFR-12JB-52-220R,CFR,1/6W,±5%,Base on Specs,220,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-22K,CFR-12JB-52-22K,CFR,1/6W,±5%,Base on Specs,22 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-22R,CFR-12JB-52-22R,CFR,1/6W,±5%,Base on Specs,22,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-240K,CFR-12JB-52-240K,CFR,1/6W,±5%,Base on Specs,240 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-240R,CFR-12JB-52-240R,CFR,1/6W,±5%,Base on Specs,240,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-24K,CFR-12JB-52-24K,CFR,1/6W,±5%,Base on Specs,24 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-24R,CFR-12JB-52-24R,CFR,1/6W,±5%,Base on Specs,24,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-270K,CFR-12JB-52-270K,CFR,1/6W,±5%,Base on Specs,270 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-270R,CFR-12JB-52-270R,CFR,1/6W,±5%,Base on Specs,270,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-27K,CFR-12JB-52-27K,CFR,1/6W,±5%,Base on Specs,27 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-27R,CFR-12JB-52-27R,CFR,1/6W,±5%,Base on Specs,27,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2K,CFR-12JB-52-2K,CFR,1/6W,±5%,Base on Specs,2 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2K2,CFR-12JB-52-2K2,CFR,1/6W,±5%,Base on Specs,2 200,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2K4,CFR-12JB-52-2K4,CFR,1/6W,±5%,Base on Specs,2 400,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2K7,CFR-12JB-52-2K7,CFR,1/6W,±5%,Base on Specs,2 700,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2M,CFR-12JB-52-2M,CFR,1/6W,±5%,Base on Specs,2 000 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2M2,CFR-12JB-52-2M2,CFR,1/6W,±5%,Base on Specs,2 200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2M4,CFR-12JB-52-2M4,CFR,1/6W,±5%,Base on Specs,2 400 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2M7,CFR-12JB-52-2M7,CFR,1/6W,±5%,Base on Specs,2 700 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2R,CFR-12JB-52-2R,CFR,1/6W,±5%,Base on Specs,2,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2R2,CFR-12JB-52-2R2,CFR,1/6W,±5%,Base on Specs,2.2,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2R4,CFR-12JB-52-2R4,CFR,1/6W,±5%,Base on Specs,2.4,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-2R7,CFR-12JB-52-2R7,CFR,1/6W,±5%,Base on Specs,2.7,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-300K,CFR-12JB-52-300K,CFR,1/6W,±5%,Base on Specs,300 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-300R,CFR-12JB-52-300R,CFR,1/6W,±5%,Base on Specs,300,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-30K,CFR-12JB-52-30K,CFR,1/6W,±5%,Base on Specs,30 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-30R,CFR-12JB-52-30R,CFR,1/6W,±5%,Base on Specs,30,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-330K,CFR-12JB-52-330K,CFR,1/6W,±5%,Base on Specs,330 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-330R,CFR-12JB-52-330R,CFR,1/6W,±5%,Base on Specs,330,
